[2026-05-06 13:36:56] GAME CREATED
[2026-05-06 13:37:01] PLAYER JOINED: chetan as red
[2026-05-06 13:37:08] PLAYER JOINED: asha as blue
[2026-05-06 13:37:12] GAME STARTED — turn order: ['red', 'blue']
[2026-05-06 13:37:12] MOVE chetan (red): 115→102 [0.2ms]
[2026-05-06 13:37:12] MOVE asha (blue): 3→14 [0.2ms]
[2026-05-06 13:37:12] MOVE chetan (red): 120→104 [0.1ms]
[2026-05-06 13:37:12] MOVE asha (blue): 0→16 [0.1ms]
[2026-05-06 13:37:13] MOVE chetan (red): 111→89 [0.1ms]
[2026-05-06 13:37:13] MOVE asha (blue): 6→26 [0.2ms]
[2026-05-06 13:37:13] MOVE chetan (red): 116→78 [0.1ms]
[2026-05-06 13:37:13] MOVE asha (blue): 4→38 [0.1ms]
[2026-05-06 13:37:13] MOVE chetan (red): 89→68 [0.2ms]
[2026-05-06 13:37:13] MOVE asha (blue): 26→49 [0.1ms]
[2026-05-06 13:37:14] MOVE chetan (red): 78→59 [0.2ms]
[2026-05-06 13:37:14] MOVE asha (blue): 8→26 [0.2ms]
[2026-05-06 13:37:14] MOVE chetan (red): 68→27 [0.1ms]
[2026-05-06 13:37:14] MOVE asha (blue): 14→58 [0.1ms]
[2026-05-06 13:37:14] MOVE chetan (red): 59→50 [0.2ms]
[2026-05-06 13:37:14] MOVE asha (blue): 49→67 [0.1ms]
[2026-05-06 13:37:15] MOVE chetan (red): 27→14 [0.1ms]
[2026-05-06 13:37:15] MOVE asha (blue): 58→77 [0.1ms]
[2026-05-06 13:37:15] MOVE chetan (red): 14→6 [0.1ms]
[2026-05-06 13:37:15] MOVE asha (blue): 5→60 [0.1ms]
[2026-05-06 13:37:15] MOVE chetan (red): 113→66 [0.1ms]
[2026-05-06 13:37:15] MOVE asha (blue): 26→69 [0.2ms]
[2026-05-06 13:37:16] MOVE chetan (red): 50→39 [0.1ms]
[2026-05-06 13:37:16] MOVE asha (blue): 60→79 [0.1ms]
[2026-05-06 13:37:16] MOVE chetan (red): 66→56 [0.1ms]
[2026-05-06 13:37:16] MOVE asha (blue): 69→90 [0.1ms]
[2026-05-06 13:37:16] MOVE chetan (red): 39→27 [0.2ms]
[2026-05-06 13:37:16] MOVE asha (blue): 77→89 [0.1ms]
[2026-05-06 13:37:17] MOVE chetan (red): 102→58 [0.1ms]
[2026-05-06 13:37:17] MOVE asha (blue): 89→113 [0.2ms]
[2026-05-06 13:37:17] MOVE chetan (red): 27→14 [0.1ms]
[2026-05-06 13:37:17] MOVE asha (blue): 79→102 [0.1ms]
[2026-05-06 13:37:17] MOVE chetan (red): 14→0 [0.1ms]
[2026-05-06 13:37:17] MOVE asha (blue): 102→111 [0.1ms]
[2026-05-06 13:37:18] MOVE chetan (red): 117→79 [0.3ms]
[2026-05-06 13:37:18] MOVE asha (blue): 90→102 [0.3ms]
[2026-05-06 13:37:18] MOVE chetan (red): 56→47 [0.1ms]
[2026-05-06 13:37:18] MOVE asha (blue): 102→120 [0.2ms]
[2026-05-06 13:37:18] MOVE chetan (red): 58→48 [0.1ms]
[2026-05-06 13:37:18] MOVE asha (blue): 38→78 [0.1ms]
[2026-05-06 13:37:19] MOVE chetan (red): 79→37 [0.1ms]
[2026-05-06 13:37:19] MOVE asha (blue): 67→90 [0.1ms]
[2026-05-06 13:37:19] MOVE chetan (red): 47→26 [0.1ms]
[2026-05-06 13:37:19] MOVE asha (blue): 78→116 [0.1ms]
[2026-05-06 13:37:19] MOVE chetan (red): 37→3 [0.2ms]
[2026-05-06 13:37:19] MOVE asha (blue): 90→102 [0.1ms]
[2026-05-06 13:37:20] MOVE chetan (red): 26→14 [0.1ms]
[2026-05-06 13:37:20] MOVE asha (blue): 102→117 [0.1ms]
[2026-05-06 13:37:20] MOVE chetan (red): 48→37 [0.1ms]
[2026-05-06 13:37:20] MOVE asha (blue): 7→29 [0.2ms]
[2026-05-06 13:37:20] MOVE chetan (red): 112→92 [0.1ms]
[2026-05-06 13:37:20] MOVE asha (blue): 16→41 [0.2ms]
[2026-05-06 13:37:20] MOVE chetan (red): 37→26 [0.2ms]
[2026-05-06 13:37:21] MOVE asha (blue): 29→52 [0.2ms]
[2026-05-06 13:37:21] MOVE chetan (red): 104→81 [0.1ms]
[2026-05-06 13:37:21] MOVE asha (blue): 41→62 [0.1ms]
[2026-05-06 13:37:21] MOVE chetan (red): 92→51 [0.1ms]
[2026-05-06 13:37:21] MOVE asha (blue): 52→72 [0.2ms]
[2026-05-06 13:37:21] MOVE chetan (red): 81→70 [0.1ms]
[2026-05-06 13:37:22] MOVE asha (blue): 62→83 [0.1ms]
[2026-05-06 13:37:22] MOVE chetan (red): 51→40 [0.1ms]
[2026-05-06 13:37:22] MOVE asha (blue): 72→95 [0.1ms]
[2026-05-06 13:37:22] MOVE chetan (red): 70→60 [0.1ms]
[2026-05-06 13:37:22] MOVE asha (blue): 83→94 [0.1ms]
[2026-05-06 13:37:22] MOVE chetan (red): 40→28 [0.1ms]
[2026-05-06 13:37:22] MOVE asha (blue): 95→93 [0.1ms]
[2026-05-06 13:37:23] MOVE chetan (red): 60→50 [0.2ms]
[2026-05-06 13:37:23] MOVE asha (blue): 94→106 [0.2ms]
[2026-05-06 13:37:23] MOVE chetan (red): 28→15 [0.1ms]
[2026-05-06 13:37:23] MOVE asha (blue): 93→105 [0.1ms]
[2026-05-06 13:37:23] MOVE chetan (red): 15→7 [0.1ms]
[2026-05-06 13:37:23] MOVE asha (blue): 106→104 [0.1ms]
[2026-05-06 13:37:24] MOVE chetan (red): 119→92 [0.2ms]
[2026-05-06 13:37:24] MOVE asha (blue): 104→112 [0.1ms]
[2026-05-06 13:37:24] MOVE chetan (red): 50→39 [0.1ms]
[2026-05-06 13:37:24] MOVE asha (blue): 105→104 [0.1ms]
[2026-05-06 13:37:24] MOVE chetan (red): 92→80 [0.1ms]
[2026-05-06 13:37:25] MOVE asha (blue): 104→115 [0.2ms]
[2026-05-06 13:37:25] MOVE chetan (red): 39→27 [0.1ms]
[2026-05-06 13:37:25] MOVE asha (blue): 9→17 [0.1ms]
[2026-05-06 13:37:25] MOVE chetan (red): 80→69 [0.1ms]
[2026-05-06 13:37:26] MOVE asha (blue): 1→4 [0.1ms]
[2026-05-06 13:37:26] MOVE chetan (red): 27→15 [0.1ms]
[2026-05-06 13:37:26] MOVE asha (blue): 17→29 [0.1ms]
[2026-05-06 13:37:26] MOVE chetan (red): 69→59 [1.3ms]
[2026-05-06 13:37:27] MOVE asha (blue): 4→8 [0.1ms]
[2026-05-06 13:37:27] MOVE chetan (red): 14→5 [0.1ms]
[2026-05-06 13:37:27] MOVE asha (blue): 29→40 [0.1ms]
[2026-05-06 13:37:27] MOVE chetan (red): 15→4 [0.1ms]
[2026-05-06 13:37:27] MOVE asha (blue): 2→9 [0.1ms]
[2026-05-06 13:37:28] MOVE chetan (red): 26→14 [0.2ms]
[2026-05-06 13:37:28] MOVE asha (blue): 40→50 [0.1ms]
[2026-05-06 13:37:28] MOVE chetan (red): 59→40 [0.3ms]
[2026-05-06 13:37:28] MOVE asha (blue): 8→16 [0.1ms]
[2026-05-06 13:37:28] MOVE chetan (red): 14→15 [0.1ms]
[2026-05-06 13:37:28] MOVE asha (blue): 50→59 [0.1ms]
[2026-05-06 13:37:29] MOVE chetan (red): 40→28 [0.1ms]
[2026-05-06 13:37:29] MOVE asha (blue): 16→39 [0.2ms]
[2026-05-06 13:37:29] MOVE chetan (red): 15→16 [0.1ms]
[2026-05-06 13:37:29] MOVE asha (blue): 59→68 [0.1ms]
[2026-05-06 13:37:29] MOVE chetan (red): 28→1 [0.1ms]
[2026-05-06 13:37:29] MOVE asha (blue): 39→49 [0.1ms]
[2026-05-06 13:37:29] MOVE chetan (red): 16→8 [0.2ms]
[2026-05-06 13:37:30] MOVE asha (blue): 68→78 [0.1ms]
[2026-05-06 13:37:30] MOVE chetan (red): 114→105 [0.2ms]
[2026-05-06 13:37:30] MOVE asha (blue): 49→58 [0.1ms]
[2026-05-06 13:37:30] MOVE chetan (red): 118→119 [0.1ms]
[2026-05-06 13:37:30] MOVE asha (blue): 78→89 [0.1ms]
[2026-05-06 13:37:30] MOVE chetan (red): 105→92 [0.1ms]
[2026-05-06 13:37:31] MOVE asha (blue): 58→67 [0.1ms]
[2026-05-06 13:37:31] MOVE chetan (red): 119→114 [0.1ms]
[2026-05-06 13:37:31] MOVE asha (blue): 89→102 [0.1ms]
[2026-05-06 13:37:31] MOVE chetan (red): 92→80 [0.2ms]
[2026-05-06 13:37:31] MOVE asha (blue): 67→77 [0.2ms]
[2026-05-06 13:37:31] MOVE chetan (red): 114→105 [0.1ms]
[2026-05-06 13:37:32] MOVE asha (blue): 102→103 [0.1ms]
[2026-05-06 13:37:32] MOVE chetan (red): 80→69 [0.2ms]
[2026-05-06 13:37:32] MOVE asha (blue): 77→89 [0.1ms]
